site_name,site_abbreviation,building_name,building_abbreviation,building_number,address,floors,gross_square_feet,occupied_since,building_image_urls
Main Campus,UTM,TENNIS SUPPORT BUILDING,TSB,0445,"301 W 51ST ST, AUSTIN, TX 78751",1,1257.0,1976,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TSB/100541704_400.jpg
Main Campus,UTM,LEE & JOE JAMAIL TEXAS SWIMMING CTR,TSC,0419,"1900 RED RIVER ST, AUSTIN, TX 78712",6,104166.0,1977,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TSC/100473842_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TSC/100473835_400.jpg
Main Campus,UTM,27TH STREET GARAGE,TSG,0981,"109 W 27TH ST, AUSTIN, TX 78712",5,214252.0,1999,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TSG/100474518_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TSG/100474517_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TSG/100474520_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TSG/100474548_400.jpg
Main Campus,UTM,TEXAS SWIMMING CENTER PUMP HOUSE,TSP,0414,"1900 RED RIVER ST, AUSTIN, TX 78712",1,1150.0,2020,nan
Main Campus,UTM,TEXAS TENNIS CENTER,TTC,9825,"2100 COMAL ST, AUSTIN, TX 78722",3,24053.0,2018,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TTC/100473830_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TTC/100544854_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/TTC/100473829_400.jpg
Main Campus,UTM,2609 UNIVERSITY AVENUE,UA9,0984,"2609 UNIVERSITY AVE, AUSTIN, TX 78712",4,34788.0,1968,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UA9/100474522_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UA9/100474521_400.jpg
Main Campus,UTM,UNIV. INTERSCHOLASTIC LEAGUE BLDG.,UIL,0164,"1701 MANOR RD, AUSTIN, TX 78722",4,34072.0,1998,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UIL/100473804_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UIL/100473803_400.jpg
Main Campus,UTM,UNION BUILDING,UNB,0609,"2308 WHITIS AVE, AUSTIN, TX 78712",5,171276.0,1933,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UNB/100473497_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UNB/100473498_400.jpg
Main Campus,UTM,UNIVERSITY POLICE BUILDING,UPB,0634,"2201 ROBERT DEDMAN DR, AUSTIN, TX 78712",1,24440.0,1960,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UPB/100474916_400.jpg
Main Campus,UTM,UT ADMINISTRATION BUILDING,UTA,0030,"1616 GUADALUPE ST, AUSTIN, TX 78701",10,259032.0,2007,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTA/100474969_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTA/100474968_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTA/100474967_400.jpg
